transaction_id,user_id,amount,transaction_time,location,device_id,merchant,fraud_flag
T1,U1234,1705,17-01-24 5:38,Delhi,D423,Swiggy,0
T2,U548,9501,25-03-24 1:40,Chennai,D447,Amazon,0
T3,U1739,30364,05-08-24 22:46,Chennai,D184,Amazon,0
T4,U1893,44386,01-03-24 11:06,Delhi,D411,Paytm,0
T5,U1002,10827,05-02-24 3:29,Mumbai,D112,Flipkart,0
T6,U1842,2711,30-03-24 11:17,Chennai,D156,Amazon,0
T7,U370,32239,03-10-24 22:19,Mumbai,D207,Swiggy,0
T8,U536,14189,04-11-24 16:38,Mumbai,D207,Amazon,0
T9,U1421,6715,03-02-24 22:58,Bangalore,D180,Amazon,0
T10,U1114,30218,05-09-24 1:27,Bangalore,D53,Swiggy,0
T11,U496,33402,12-05-24 7:44,Bangalore,D55,Paytm,0
T12,U23,27354,15-06-24 23:47,Delhi,D179,Amazon,0
T13,U431,28388,03-04-24 9:47,Delhi,D116,Zomato,0
T14,U1153,19371,03-01-24 6:31,Hyderabad,D474,Swiggy,0
T15,U1101,15980,21-07-24 4:45,Hyderabad,D59,Zomato,0
T16,U398,6497,12-02-24 0:09,Delhi,D120,Paytm,0
T17,U1069,3477,26-10-24 13:39,Hyderabad,D7,Swiggy,0
T18,U1663,4285,19-07-24 22:21,Bangalore,D278,Flipkart,0
T19,U1782,21353,19-03-24 13:48,Hyderabad,D301,Flipkart,0
T20,U1354,29075,09-01-24 21:14,Delhi,D156,Flipkart,0
T21,U352,21878,19-10-24 4:31,Mumbai,D371,Zomato,0
T22,U456,4267,17-04-24 23:59,Bangalore,D477,Swiggy,0
T23,U1672,7492,30-01-24 21:53,Delhi,D110,Zomato,0
T24,U1933,39958,19-06-24 20:26,Mumbai,D500,Paytm,0
T25,U1591,19748,24-10-24 0:44,Mumbai,D45,Flipkart,0
T26,U51,15276,02-04-24 1:47,Bangalore,D104,Swiggy,0
T27,U402,31918,16-08-24 2:58,Chennai,D69,Paytm,0
T28,U1106,43902,13-04-24 9:36,Hyderabad,D76,Paytm,0
T29,U586,35864,06-08-24 6:18,Delhi,D372,Flipkart,0
T30,U1174,9438,29-02-24 20:48,Chennai,D365,Flipkart,0
T31,U688,30507,19-04-24 7:13,Mumbai,D53,Flipkart,0
T32,U1971,44441,28-07-24 4:01,Mumbai,D305,Paytm,0
T33,U1807,2238,10-11-24 11:35,Bangalore,D427,Flipkart,0
T34,U1953,26375,28-03-24 21:31,Delhi,D155,Swiggy,0
T35,U1030,22517,06-11-24 0:35,Delhi,D283,Paytm,0
T36,U1874,25534,01-07-24 3:48,Chennai,D321,Zomato,0
T37,U966,14780,04-07-24 0:54,Chennai,D64,Zomato,1
T38,U215,28072,28-07-24 8:21,Hyderabad,D30,Swiggy,0
T39,U1320,47648,30-11-24 8:32,Mumbai,D270,Swiggy,0
T40,U1386,2921,12-09-24 9:21,Bangalore,D27,Amazon,0
T41,U1547,24212,19-04-24 6:13,Delhi,D311,Flipkart,0
T42,U694,23561,04-05-24 13:42,Hyderabad,D259,Amazon,0
T43,U1253,41351,01-08-24 19:49,Hyderabad,D371,Paytm,0
T44,U1357,47258,04-12-24 8:16,Chennai,D127,Paytm,0
T45,U1783,33674,27-05-24 20:15,Mumbai,D475,Amazon,0
T46,U258,40922,24-05-24 2:29,Mumbai,D116,Swiggy,0
T47,U1173,17052,11-03-24 3:03,Mumbai,D232,Swiggy,0
T48,U809,28017,15-09-24 23:32,Bangalore,D120,Paytm,0
T49,U604,18862,30-05-24 8:19,Chennai,D435,Amazon,0
T50,U267,11295,12-02-24 20:01,Hyderabad,D8,Paytm,0
T51,U446,38325,09-02-24 13:58,Delhi,D311,Swiggy,0
T52,U1894,7534,13-07-24 12:48,Mumbai,D189,Zomato,1
T53,U693,535,06-06-24 13:17,Mumbai,D357,Paytm,0
T54,U1090,2392,27-11-24 16:12,Mumbai,D209,Flipkart,0
T55,U420,15222,13-08-24 18:19,Hyderabad,D79,Flipkart,0
T56,U267,9893,10-09-24 5:19,Mumbai,D228,Amazon,0
T57,U925,39722,19-06-24 4:54,Bangalore,D197,Flipkart,0
T58,U224,32148,23-03-24 7:28,Mumbai,D378,Swiggy,0
T59,U707,13225,12-01-24 21:26,Hyderabad,D65,Flipkart,0
T60,U987,41642,10-11-24 23:06,Bangalore,D186,Paytm,0
T61,U1158,5947,04-11-24 4:28,Delhi,D253,Amazon,0
T62,U1506,20311,06-07-24 21:30,Delhi,D12,Flipkart,0
T63,U223,17331,10-05-24 4:09,Chennai,D120,Amazon,0
T64,U1556,13203,12-01-24 23:38,Hyderabad,D215,Zomato,0
T65,U1962,12723,26-05-24 21:32,Mumbai,D185,Amazon,0
T66,U1091,11215,18-06-24 21:16,Mumbai,D425,Amazon,0
T67,U992,23300,03-04-24 6:35,Delhi,D66,Paytm,0
T68,U1527,21192,29-02-24 0:55,Bangalore,D210,Paytm,0
T69,U1402,1646,22-10-24 19:20,Mumbai,D465,Zomato,0
T70,U169,10885,30-10-24 3:15,Mumbai,D91,Swiggy,0
T71,U1082,35001,26-07-24 0:13,Chennai,D124,Zomato,0
T72,U1722,7562,07-04-24 22:01,Hyderabad,D180,Flipkart,0
T73,U401,23249,09-12-24 18:08,Hyderabad,D273,Flipkart,0
T74,U1040,12072,24-02-24 18:24,Chennai,D210,Swiggy,0
T75,U1709,26194,01-11-24 16:47,Bangalore,D472,Flipkart,0
T76,U1534,29694,19-09-24 14:40,Mumbai,D228,Flipkart,0
T77,U323,27073,15-05-24 23:40,Delhi,D324,Zomato,0
T78,U1470,42029,20-07-24 10:34,Delhi,D238,Amazon,0
T79,U1684,15974,06-11-24 3:24,Mumbai,D375,Paytm,0
T80,U785,29123,11-04-24 19:18,Mumbai,D41,Flipkart,0
T81,U644,1506,29-07-24 3:22,Chennai,D260,Amazon,0
T82,U1261,27305,14-05-24 8:18,Chennai,D22,Flipkart,1
T83,U287,46056,04-12-24 21:20,Hyderabad,D366,Amazon,0
T84,U1473,12378,23-11-24 2:57,Hyderabad,D46,Zomato,0
T85,U479,42044,17-01-24 10:11,Chennai,D340,Paytm,0
T86,U638,26008,08-08-24 0:51,Hyderabad,D183,Flipkart,0
T87,U1234,15732,30-07-24 19:36,Bangalore,D152,Swiggy,0
T88,U717,11837,07-01-24 16:36,Mumbai,D61,Amazon,0
T89,U609,35004,15-04-24 17:55,Hyderabad,D86,Flipkart,0
T90,U493,8054,09-11-24 4:09,Hyderabad,D362,Paytm,0
T91,U791,34307,21-06-24 3:11,Bangalore,D157,Flipkart,0
T92,U1003,30819,09-08-24 6:36,Mumbai,D190,Flipkart,0
T93,U654,27228,04-07-24 11:03,Chennai,D91,Paytm,0
T94,U1166,46060,05-05-24 9:38,Hyderabad,D64,Swiggy,0
T95,U1383,45977,29-09-24 15:42,Bangalore,D321,Amazon,0
T96,U1295,2422,16-11-24 7:37,Delhi,D293,Swiggy,0
T97,U848,3298,08-08-24 1:50,Mumbai,D427,Swiggy,0
T98,U781,48331,10-03-24 2:43,Chennai,D268,Swiggy,0
T99,U475,42685,17-03-24 0:42,Mumbai,D202,Paytm,0
T100,U1554,20581,04-10-24 23:10,Delhi,D330,Zomato,0
T101,U974,18147,30-06-24 3:36,Hyderabad,D172,Paytm,0
T102,U1135,14396,27-01-24 21:18,Mumbai,D368,Flipkart,0
T103,U1408,44902,04-01-24 4:43,Mumbai,D180,Flipkart,0
T104,U1911,2761,05-08-24 11:11,Chennai,D31,Flipkart,0
T105,U427,13497,06-02-24 0:21,Delhi,D379,Swiggy,0
T106,U1948,10334,09-01-24 8:35,Mumbai,D222,Amazon,1
T107,U1708,15650,13-07-24 6:01,Bangalore,D442,Zomato,0
T108,U757,3876,03-11-24 10:34,Mumbai,D256,Flipkart,0
T109,U1745,32172,23-01-24 3:17,Delhi,D486,Flipkart,0
T110,U1101,9053,14-11-24 5:14,Hyderabad,D374,Zomato,0
T111,U20,2414,03-08-24 3:48,Mumbai,D373,Swiggy,0
T112,U865,30517,04-10-24 19:18,Mumbai,D438,Zomato,0
T113,U908,22689,28-10-24 23:11,Bangalore,D132,Flipkart,0
T114,U1809,31536,06-02-24 20:46,Chennai,D97,Paytm,0
T115,U1690,48610,27-07-24 8:37,Mumbai,D182,Flipkart,0
T116,U864,24105,18-11-24 7:32,Mumbai,D490,Swiggy,0
T117,U1881,12097,14-07-24 12:54,Hyderabad,D188,Paytm,0
T118,U1960,23234,12-08-24 16:54,Hyderabad,D205,Paytm,0
T119,U1056,14978,05-05-24 23:48,Bangalore,D475,Flipkart,0
T120,U133,8903,17-10-24 23:48,Chennai,D455,Flipkart,0
T121,U869,32578,23-09-24 12:42,Bangalore,D195,Amazon,0
T122,U566,43350,29-10-24 13:05,Bangalore,D298,Swiggy,0
T123,U1444,44190,28-05-24 7:18,Chennai,D219,Amazon,0
T124,U494,7821,31-03-24 18:36,Chennai,D354,Zomato,0
T125,U1703,49735,08-09-24 14:02,Mumbai,D367,Zomato,0
T126,U1085,15812,02-10-24 20:25,Hyderabad,D398,Flipkart,0
T127,U1419,11749,30-08-24 18:06,Bangalore,D429,Swiggy,0
T128,U131,2777,07-03-24 9:57,Mumbai,D334,Swiggy,0
T129,U510,39587,27-01-24 9:30,Chennai,D226,Zomato,0
T130,U907,32669,04-05-24 13:46,Chennai,D135,Swiggy,0
T131,U1695,575,07-03-24 5:36,Mumbai,D485,Flipkart,0
T132,U1202,18432,27-01-24 21:50,Bangalore,D499,Paytm,0
T133,U916,45996,11-09-24 15:38,Mumbai,D356,Zomato,0
T134,U1645,25786,30-07-24 12:21,Bangalore,D90,Paytm,1
T135,U1600,12550,17-01-24 3:53,Delhi,D360,Flipkart,0
T136,U1946,49017,07-08-24 11:14,Chennai,D459,Zomato,0
T137,U1763,2764,01-05-24 2:15,Chennai,D50,Paytm,0
T138,U207,43991,29-09-24 17:44,Delhi,D419,Flipkart,1
T139,U585,45848,29-09-24 2:36,Bangalore,D362,Flipkart,0
T140,U321,49505,07-10-24 1:03,Bangalore,D324,Flipkart,0
T141,U461,35834,15-01-24 3:57,Mumbai,D422,Flipkart,0
T142,U1576,2786,27-07-24 19:01,Bangalore,D441,Swiggy,0
T143,U1711,31223,14-05-24 6:00,Bangalore,D427,Swiggy,0
T144,U1034,8510,02-04-24 5:47,Hyderabad,D50,Zomato,0
T145,U1336,10180,10-10-24 16:55,Delhi,D383,Flipkart,0
T146,U1206,19207,09-12-24 9:55,Mumbai,D6,Swiggy,0
